9.2,0.428571429,0.7
18.4,0.428571429,0.2
27.6,0.114285714,0
36.8,0,0.1
46,0.028571429,0
,,
,,
,,
,,
,,
,,
,,
7.4,0.257142857,0.7
14.8,0.314285714,0.1
22.2,0.257142857,0.2
29.6,0.114285714,0
37,0.057142857,0
,,
,,
,,
,,
,,
,,
,,
16.6,0.771428571,0.9
33.2,0.2,0
49.8,0,0
66.4,0,0
83,0.028571429,0
,,
,,
,,
,,
,,
,,
,,
5.2,0.4,0.4
10.4,0.314285714,0.3
15.6,0.057142857,0.3
20.8,0.142857143,0
26,0.085714286,0
,,
,,
,,
,,
,,
,,
,,
11.6,0.6,0.7
23.2,0.142857143,0.2
34.8,0.114285714,0
46.4,0.114285714,0.1
58,0.028571429,0
,,
,,
,,
,,
,,
,,
,,
11,0.542857143,0.8
22,0.342857143,0.2
33,0.142857143,0.1
44,0.028571429,0
55,0.057142857,0
,,
,,
,,
,,
,,
,,
,,
,,
9.8,0.457142857,0.8
19.6,0.371428571,0.1
29.4,0.114285714,0
39.2,0,0
49,0.057142857,0
,,
,,
,,
,,
,,
,,
,,
,,
7.6,0.342857143,0.7
15.2,0.314285714,0.1
22.8,0.142857143,0.1
30.4,0.085714286,0.1
38,0.114285714,0
,,
,,
,,
,,
,,
,,
,,
,,
15.2,0.885714286,0.9
30.4,0.085714286,0
45.6,0,0
60.8,0,0
76,0.028571429,0
,,
,,
,,
,,
,,
,,
,,
,,
10.4,0.571428571,0.7
20.8,0.342857143,0.3
31.2,0.028571429,0
41.6,0,0
52,0.057142857,0
